SampleID,category,xsectioninpb,kfactor,filterefficiency,xsecunc
################################################################################################################,,,,,ls
,,,,,
# top,,,,,
# ttbar,,,,,
364107,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV140_280_CFilterBVeto,39.857,0.9751,0.23359,1
,,,,,
#tau,,,,,
364130,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV0_70_BFilter,1982.1,0.9751,0.065759,1
364133,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV70_140_BFilter,110.63,0.9751,0.110886,1
364136,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV140_280_BFilter,40.735,0.9751,0.15608,1
364139,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV280_500_BFilter,8.6797,0.9751,0.17626,1
364128,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV0_70_CVetoBVeto,1981.7,0.9751,0.82142,1
364131,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV70_140_CVetoBVeto,110.56,0.9751,0.6926,1
364134,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV140_280_CVetoBVeto,40.793,0.9751,0.61823,1
364137,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV280_500_CVetoBVeto,8.6642,0.9751,0.56327,1
364140,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV500_1000,1.8079,0.9751,1,1
364141,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV1000_E_CMS,0.14823,0.9751,1,1
364129,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV0_70_CFilterBVeto,1981.6,0.9751,0.10907,1
364132,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV70_140_CFilterBVeto,110.55,0.9751,0.1902,1
364135,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV140_280_CFilterBVeto,40.718,0.9751,0.23417,1
364138,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV280_500_CFilterBVeto,8.6756,0.9751,0.26523,1
,,,,,
,,,,,
# SherpaNLO,,,,,
# Zee,,,,,
700320,Sh_2211_Zee_maxHTpTV2_BFilter,2221.2,1,2.49E-02,1
700321,Sh_2211_Zee_maxHTpTV2_CFilterBVeto,2221.2,1,0.1298145,1
700322,Sh_2211_Zee_maxHTpTV2_CVetoBVeto,2221.2,1,8.46E-01,1
,,,,,
# Zmumu,,,,,
700323,Sh_2211_Zmumu_maxHTpTV2_BFilter,2221.3,1,2.44E-02,1
700324,Sh_2211_Zmumu_maxHTpTV2_CFilterBVeto,2221.3,1,0.13003,1
700325,Sh_2211_Zmumu_maxHTpTV2_CVetoBVeto,2221.3,1,8.46E-01,1
,,,,,
# Ztautau,,,,,
700326,Sh_2211_Ztautau_LL_maxHTpTV2_BFilter,275.33,1,0.0249068,1
700327,Sh_2211_Ztautau_LL_maxHTpTV2_CFilterBVeto,275.33,1,1.25E-01,1
700328,Sh_2211_Ztautau_LL_maxHTpTV2_CVetoBVeto,275.33,1,8.50E-01,1
700329,Sh_2211_Ztautau_LH_maxHTpTV2_BFilter,1013.2,1,2.44E-02,1
700330,Sh_2211_Ztautau_LH_maxHTpTV2_CFilterBVeto,1013.2,1,1.25E-01,1
700331,Sh_2211_Ztautau_LH_maxHTpTV2_CVetoBVeto,1013.2,1,8.50E-01,1
700332,Sh_2211_Ztautau_HH_maxHTpTV2_BFilter,932.53,1,2.46E-02,1
700333,Sh_2211_Ztautau_HH_maxHTpTV2_CFilterBVeto,932.53,1,0.1247522,1
700334,Sh_2211_Ztautau_HH_maxHTpTV2_CVetoBVeto,932.53,1,8.50E-01,1

700792,Sh_2214_Ztautau_maxHTpTV2_BFilter,2239.6,1.0,2.486526E-02,1
700793,Sh_2214_Ztautau_maxHTpTV2_CFilterBVeto,2239.6,1.0,1.291589E-01,1
700794,Sh_2214_Ztautau_maxHTpTV2_CVetoBVeto,2239.7,1.0,8.459542E-01,1
,,,,,
,,,,,
# MadGraph,,,,,
# mu,,,,,
363123,MGPy8EG_N30NLO_Zmumu_Ht0_70_CVetoBVeto.recon.A,1714.9,1.141,0.83167,1
363123,MGPy8EG_N30NLO_Zmumu_Ht0_70_CVetoBVeto.recon.A,1714.6,1.141,0.83163,1
363123,MGPy8EG_N30NLO_Zmumu_Ht0_70_CVetoBVeto.recon.A,1714.9,1.141,0.83167,1
363124,MGPy8EG_N30NLO_Zmumu_Ht0_70_CFilterBVeto.recon,1715.2,1.141,0.10879,1
363124,MGPy8EG_N30NLO_Zmumu_Ht0_70_CFilterBVeto.recon,1715.1,1.141,0.10878,1
363124,MGPy8EG_N30NLO_Zmumu_Ht0_70_CFilterBVeto.recon,1715.2,1.141,0.10879,1
363125,MGPy8EG_N30NLO_Zmumu_Ht0_70_BFilter.recon.AOD.,1715.6,1.141,0.059371,1
363125,MGPy8EG_N30NLO_Zmumu_Ht0_70_BFilter.recon.AOD.,1715.7,1.141,0.05934,1
363125,MGPy8EG_N30NLO_Zmumu_Ht0_70_BFilter.recon.AOD.,1715.6,1.141,0.059371,1
363126,MGPy8EG_N30NLO_Zmumu_Ht70_140_CVetoBVeto.recon,84.576,1.141,0.71882,1
363126,MGPy8EG_N30NLO_Zmumu_Ht70_140_CVetoBVeto.recon,84.586,1.141,0.71863,1
363126,MGPy8EG_N30NLO_Zmumu_Ht70_140_CVetoBVeto.recon,84.576,1.141,0.71882,1
363127,MGPy8EG_N30NLO_Zmumu_Ht70_140_CFilterBVeto.rec,84.572,1.141,0.17409,1
